# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Mon Feb 17 16:42:31 UTC 2025
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0305 0.34439 7.00000 1.0296753645 2.4789220806    1.029 -0.322  3.6451  4.305    0 5.575 5.762 6.390 5.003
0.0305 0.34439 7.00000 1.0496332645 2.4827428479    1.049 -0.301  3.6480  4.304    0 5.523 5.696 6.313 4.944
0.0305 0.34439 7.00000 1.0504425764 2.4828942647    1.050 -0.300  3.6481  4.304    0 5.521 5.693 6.310 4.942
0.0305 0.34439 7.00000 1.0995721817 2.4916081858    1.099 -0.245  3.6559  4.299    0 5.382 5.517 6.107 4.787
0.0305 0.34439 7.00000 1.1074892282 2.4929294687    1.107 -0.236  3.6572  4.299    0 5.361 5.491 6.078 4.764
0.0305 0.34439 7.00000 1.1495108604 2.4995935377    1.149 -0.188  3.6642  4.295    0 5.240 5.342 5.907 4.632
0.0305 0.34439 7.00000 1.1847629547 2.5047667442    1.184 -0.151  3.6700  4.294    0 5.146 5.225 5.773 4.530
0.0305 0.34439 7.00000 1.1994498968 2.5068191224    1.199 -0.130  3.6729  4.291    0 5.096 5.164 5.703 4.476
0.0305 0.34439 7.00000 1.2493886948 2.5133844584    1.249 -0.063  3.6826  4.280    0 4.927 4.961 5.471 4.295
0.0305 0.34439 7.00000 1.2993276119 2.5193728385    1.299  0.005  3.6924  4.269    0 4.758 4.761 5.246 4.119
0.0305 0.34439 7.00000 1.3360772133 2.5234523608    1.336  0.055  3.6996  4.259    0 4.631 4.614 5.080 3.988
0.0305 0.34439 7.00000 1.3492665291 2.5248543172    1.349  0.074  3.7023  4.255    0 4.584 4.561 5.020 3.940
0.0305 0.34439 7.00000 1.3971247673 2.5296867824    1.397  0.151  3.7127  4.235    0 4.391 4.343 4.777 3.746
0.0305 0.34439 7.00000 1.3992053270 2.5298882595    1.399  0.155  3.7132  4.234    0 4.382 4.333 4.766 3.736
0.0305 0.34439 7.00000 1.4362260103 2.5333613237    1.436  0.220  3.7215  4.213    0 4.220 4.152 4.566 3.574
0.0305 0.34439 7.00000 1.4491442442 2.5345253138    1.449  0.244  3.7246  4.205    0 4.160 4.086 4.493 3.515
0.0305 0.34439 7.00000 1.4553328753 2.5350745252    1.456  0.256  3.7260  4.201    0 4.131 4.055 4.459 3.487
0.0305 0.34439 7.00000 1.4932863712 2.5383285326    1.493  0.334  3.7353  4.171    0 3.936 3.844 4.227 3.296
0.0305 0.34439 7.00000 1.4990831614 2.5388088777    1.499  0.346  3.7367  4.166    0 3.904 3.810 4.190 3.265
0.0305 0.34439 7.00000 1.5098499060 2.5396898076    1.510  0.370  3.7394  4.156    0 3.844 3.746 4.120 3.207
0.0305 0.34439 7.00000 1.5412514210 2.5421784201    1.541  0.448  3.7479  4.122    0 3.651 3.542 3.898 3.021
0.0305 0.34439 7.00000 1.5490219593 2.5427763640    1.549  0.468  3.7500  4.112    0 3.599 3.488 3.840 2.972
0.0305 0.34439 7.00000 1.5558031797 2.5432925708    1.556  0.486  3.7519  4.103    0 3.554 3.441 3.788 2.928
0.0305 0.34439 7.00000 1.5778973103 2.5449391049    1.578  0.550  3.7585  4.072    0 3.395 3.275 3.609 2.778
0.0305 0.34439 7.00000 1.5983744860 2.5464184892    1.598  0.613  3.7650  4.041    0 3.238 3.111 3.431 2.629
0.0305 0.34439 7.00000 1.5989608765 2.5464602120    1.599  0.615  3.7652  4.040    0 3.233 3.106 3.426 2.624
0.0305 0.34439 7.00000 1.6168848276 2.5477187623    1.616  0.671  3.7713  4.012    0 3.091 2.960 3.267 2.491
0.0305 0.34439 7.00000 1.6357785463 2.5490111259    1.635  0.731  3.7782  3.985    0 2.942 2.805 3.098 2.352
0.0305 0.34439 7.00000 1.6488996744 2.5498886220    1.648  0.773  3.7832  3.967    0 2.838 2.698 2.981 2.257
0.0305 0.34439 7.00000 1.6497462988 2.5499446903    1.649  0.775  3.7836  3.966    0 2.831 2.691 2.974 2.251
0.0305 0.34439 7.00000 1.6694649458 2.5512320946    1.669  0.837  3.7920  3.944    0 2.678 2.534 2.800 2.113
0.0305 0.34439 7.00000 1.6738691330 2.5515148768    1.673  0.850  3.7940  3.939    0 2.645 2.499 2.761 2.083
0.0305 0.34439 7.00000 1.6842684746 2.5521758491    1.683  0.882  3.7987  3.929    0 2.565 2.419 2.672 2.014
0.0305 0.34439 7.00000 1.6988385916 2.5530862774    1.698  0.924  3.8061  3.920    0 2.460 2.311 2.549 1.924
0.0305 0.34439 7.00000 1.7030754089 2.5533476594    1.702  0.937  3.8083  3.918    0 2.428 2.279 2.513 1.897
0.0305 0.34439 7.00000 1.7195930481 2.5543525537    1.719  0.981  3.8179  3.916    0 2.318 2.169 2.385 1.810
0.0305 0.34439 7.00000 1.7238082886 2.5546054546    1.723  0.991  3.8205  3.918    0 2.293 2.143 2.355 1.790
0.0305 0.34439 7.00000 1.7439078093 2.5557920503    1.743  1.030  3.8338  3.936    0 2.194 2.044 2.233 1.724
