cluster_name,met,met  _error,loga,loga _error,dm,dm   _error,Av,Av   _error,distance_kpc,distance_kpc_error,E_BV,E_BV_error
Collinder 106,0.019,0.002,7.322,0.407,10.382,0.514,0.577,0.088,11.923396878859664,2.822336571662519,0.1861290322580645,0.028387096774193547
IC 2944,0.019,0.001,7.877,0.003,10.192,0.050,0.033,0.028,10.924460532267922,0.2515449997060192,0.01064516129032258,0.009032258064516128
IC 4756,0.011,0.001,8.609,0.227,10.465,0.040,0.029,0.021,12.387965865303691,0.22819476427173893,0.00935483870967742,0.006774193548387097
Lynga 2,0.016,0.001,7.097,0.028,10.474,0.052,0.194,0.087,12.439416235583076,0.2978852696518577,0.06258064516129032,0.028064516129032255
NGC 1817,0.011,0.001,9.447,0.087,10.490,0.013,0.032,0.056,12.531411749414161,0.07502206890976586,0.01032258064516129,0.018064516129032256
NGC 1960,0.014,0.003,7.927,0.024,10.033,0.171,0.441,0.178,10.153131241457611,0.7995429436177012,0.14225806451612902,0.05741935483870967
NGC 2099,0.014,0.001,8.898,0.009,10.495,0.006,0.577,0.019,12.560299636948741,0.03470539044909204,0.1861290322580645,0.0061290322580645155
NGC 2158,0.011,0.001,9.213,0.309,10.492,0.006,0.027,0.023,12.542958923023187,0.03465747628582781,0.008709677419354838,0.007419354838709677
NGC 2264,0.013,0.001,7.038,0.046,8.867,0.071,0.242,0.046,5.934716805530555,0.19404570435529378,0.07806451612903226,0.014838709677419354
NGC 2345,0.011,0.001,9.271,0.009,10.482,0.022,0.201,0.024,12.485329261594941,0.12649354537103183,0.06483870967741935,0.007741935483870968
NGC 6025,0.011,0.001,9.404,0.005,10.481,0.014,1.867,0.020,12.47958087870284,0.08045883131472116,0.6022580645161291,0.0064516129032258064
NGC 6475,0.019,0.001,8.630,0.009,9.109,0.070,1.225,0.169,6.634374757931715,0.21386697386529369,0.3951612903225807,0.05451612903225807
Collinder 110,0.013,0.001,8.648,0.005,10.492,0.013,0.036,0.047,12.542958923023187,0.07509119861929359,0.01161290322580645,0.015161290322580645
IC 1805,0.016,0.001,9.231,0.010,9.241,0.031,0.512,0.030,7.050176668539837,0.10064851653971638,0.16516129032258065,0.009677419354838708
IC 4499,0.013,0.001,8.647,0.057,10.484,0.012,0.041,0.078,12.496833972112192,0.06906005667313704,0.013225806451612903,0.025161290322580646
IC 4651,0.018,0.001,9.269,0.009,10.033,0.018,0.322,0.018,10.153131241457611,0.08416241511765274,0.10387096774193548,0.005806451612903225
IC 5146,0.013,0.001,9.303,0.547,10.468,0.021,0.060,0.038,12.40509230042225,0.11996787855430348,0.019354838709677417,0.012258064516129031
M45,0.015,0.003,8.245,0.694,9.315,0.712,1.003,0.522,7.294575102545685,2.3918044964566425,0.32354838709677414,0.16838709677419356
NGC 104,0.016,0.001,9.396,0.011,10.286,0.087,0.763,0.022,11.407750129221204,0.4570512878233342,0.2461290322580645,0.007096774193548387
NGC 1245,0.014,0.001,8.343,0.091,10.496,0.004,0.008,0.010,12.56608520076332,0.02314758436845657,0.0025806451612903226,0.0032258064516129032
NGC 1528,0.011,0.001,9.496,0.318,10.488,0.019,0.110,0.043,12.519875206248813,0.10954669646100622,0.035483870967741936,0.013870967741935483
NGC 1746,0.016,0.002,8.106,0.084,9.505,0.141,1.255,0.089,7.96159350417319,0.5169693518410851,0.4048387096774193,0.028709677419354835
NGC 188,0.010,0.001,9.246,0.097,10.486,0.004,0.059,0.019,12.508349283740658,0.023041230878963193,0.01903225806451613,0.0061290322580645155
NGC 1912,0.012,0.001,8.512,0.097,10.302,0.019,0.903,0.031,11.492115972032408,0.10055398471181029,0.29129032258064513,0.01
NGC 1931,0.016,0.001,7.886,0.005,10.187,0.159,1.761,0.358,10.899334970270669,0.7980733499897875,0.5680645161290322,0.11548387096774193
NGC 2168,0.012,0.003,7.793,0.005,9.841,0.041,0.919,0.043,9.2939429013158,0.1754807739136023,0.2964516129032258,0.013870967741935483
NGC 2269,0.012,0.001,9.280,0.016,10.490,0.010,0.023,0.020,12.531411749414161,0.05770928377674297,0.007419354838709677,0.0064516129032258064
NGC 2298,0.011,0.001,9.333,0.097,10.489,0.010,0.050,0.063,12.525642149637898,0.057682713787868246,0.016129032258064516,0.02032258064516129
NGC 2323,0.014,0.001,8.232,0.014,9.913,0.012,0.842,0.009,9.607270084891201,0.0530917365164115,0.27161290322580645,0.0029032258064516127
NGC 2360,0.011,0.001,9.130,0.004,10.196,0.029,0.291,0.021,10.94460267815079,0.1461650980576258,0.09387096774193547,0.006774193548387097
NGC 2422,0.013,0.001,8.810,0.134,10.477,0.018,0.054,0.036,12.456613801138875,0.10325668769167058,0.017419354838709676,0.01161290322580645
NGC 2447,0.015,0.003,8.431,0.771,9.001,0.753,0.691,0.565,6.312479779910388,2.188974289261828,0.22290322580645158,0.182258064516129
NGC 2453,0.010,0.001,9.141,0.164,10.488,0.020,0.013,0.013,12.519875206248813,0.11531231206421709,0.004193548387096774,0.004193548387096774
NGC 2509,0.011,0.002,8.896,0.310,10.494,0.005,0.019,0.020,12.554516736871385,0.0289078430880643,0.0061290322580645155,0.0064516129032258064
NGC 2516,0.011,0.002,7.982,0.071,8.136,0.030,0.490,0.099,4.238381057743499,0.0585553982519311,0.15806451612903225,0.03193548387096774
NGC 2546,0.011,0.001,9.355,0.073,10.480,0.020,0.020,0.026,12.473835142429433,0.11488826740569309,0.0064516129032258064,0.008387096774193548
NGC 2632,0.017,0.001,8.662,0.094,10.442,0.149,0.993,0.227,12.257446320498062,0.841069632637456,0.3203225806451613,0.0732258064516129
NGC 2682,0.018,0.004,9.379,0.013,9.902,0.129,0.142,0.035,9.55872571884691,0.5678523071844809,0.04580645161290322,0.011290322580645162
NGC 3766,0.012,0.001,8.636,0.116,10.479,0.014,0.016,0.017,12.468092051556184,0.0803847601087743,0.005161290322580645,0.005483870967741936
NGC 4755,0.014,0.002,8.622,0.098,10.418,0.058,0.220,0.106,12.122717925364965,0.3237976391455981,0.07096774193548387,0.034193548387096775
NGC 5634,0.013,0.002,8.667,0.240,10.487,0.009,0.029,0.072,12.514110918023889,0.051866649453448516,0.00935483870967742,0.0232258064516129
NGC 5822,0.011,0.001,8.158,0.004,10.454,0.027,0.050,0.022,12.325370982033455,0.15325316363979874,0.016129032258064516,0.007096774193548387
NGC 6139,0.013,0.001,8.596,0.086,10.487,0.011,0.026,0.029,12.514110918023889,0.06339257155421485,0.008387096774193548,0.00935483870967742
NGC 6229,0.010,0.000,8.750,0.453,10.487,0.012,0.040,0.060,12.514110918023889,0.06915553260459803,0.012903225806451613,0.019354838709677417
NGC 6231,0.018,0.004,7.878,0.003,9.371,0.194,0.314,0.093,7.4851412464548535,0.6687247765380225,0.10129032258064516,0.03
NGC 6235,0.014,0.001,8.632,0.004,10.484,0.014,0.073,0.052,12.496833972112192,0.08057006611865988,0.02354838709677419,0.016774193548387096
NGC 6242,0.011,0.001,8.337,0.099,10.060,0.100,1.071,0.090,10.280162981264736,0.4734190006841882,0.3454838709677419,0.029032258064516127
NGC 6325,0.014,0.001,9.339,0.052,10.475,0.022,0.010,0.012,12.44514611771385,0.12608643489543478,0.0032258064516129032,0.003870967741935484
NGC 6352,0.019,0.001,9.427,0.005,10.451,0.038,1.527,0.020,12.308354609940128,0.2153918572154084,0.4925806451612903,0.0064516129032258064
