cluster_name,met,met  _error,loga,loga _error,dm,dm   _error,Av,Av   _error,distance_kpc,distance_kpc_error,E_BV,E_BV_error
NGC 6231,0.014,0.001,7.011,0.011,10.474,0.032,1.434,0.026,12.439416235583076,0.18331401209345088,0.46258064516129027,0.008387096774193548
NGC 6235,0.013,0.001,8.644,0.010,10.482,0.018,0.042,0.036,12.485329261594941,0.10349471893993514,0.013548387096774195,0.01161290322580645
NGC 6242,0.016,0.001,7.801,0.017,10.458,0.026,1.186,0.048,12.34809607858603,0.14784921817853422,0.3825806451612903,0.015483870967741935
NGC 6325,0.014,0.001,9.226,0.074,10.484,0.023,0.055,0.046,12.496833972112192,0.13236510862351267,0.017741935483870968,0.014838709677419354
NGC 6352,0.011,0.002,9.450,0.007,10.481,0.014,1.546,0.015,12.47958087870284,0.08045883131472116,0.49870967741935485,0.004838709677419354
NGC 6401,0.014,0.001,8.650,0.012,10.421,0.091,1.816,0.189,12.13947765365828,0.5087296811332718,0.5858064516129032,0.06096774193548387
NGC 6440,0.014,0.001,9.477,0.015,7.800,0.039,0.187,0.060,3.630780547701013,0.06520941308753907,0.060322580645161286,0.019354838709677417
NGC 6441,0.019,0.001,8.630,0.006,10.326,0.054,0.233,0.120,11.619836038697963,0.2889611414540019,0.07516129032258065,0.038709677419354833
NGC 6496,0.011,0.001,9.182,0.065,10.478,0.024,1.136,0.064,12.462351604865134,0.13773900013926185,0.36645161290322575,0.02064516129032258
NGC 6583,0.011,0.001,9.482,0.018,10.475,0.030,1.066,0.017,12.44514611771385,0.17193604758468378,0.3438709677419355,0.005483870967741936
NGC 6717,0.013,0.001,8.660,0.153,10.480,0.021,0.050,0.068,12.473835142429433,0.12063268077597775,0.016129032258064516,0.021935483870967745
NGC 6939,0.011,0.001,9.499,0.006,10.491,0.011,0.693,0.032,12.537184006801198,0.06350945260480437,0.22354838709677416,0.01032258064516129
NGC 7082,0.015,0.002,8.388,0.669,8.658,1.018,1.258,0.561,5.390139436325509,2.526931460023362,0.40580645161290324,0.18096774193548387
NGC 7243,,,,,,,,,,,,
NGC 7492,0.014,0.001,8.667,0.011,10.482,0.015,0.039,0.068,12.485329261594941,0.08624559911661261,0.012580645161290323,0.021935483870967745
NGC 7654,0.011,0.001,8.749,0.015,10.478,0.020,1.540,0.031,12.462351604865134,0.11478250011605154,0.4967741935483871,0.01
NGC 7789,0.011,0.001,9.495,0.007,10.493,0.006,0.457,0.043,12.548736499304812,0.034673440319051466,0.1474193548387097,0.013870967741935483
NGC 869,0.011,0.001,9.244,0.017,10.069,0.042,0.012,0.034,10.32285911052999,0.1996617966418667,0.003870967741935484,0.010967741935483872
NGC 957,0.013,0.001,9.240,0.025,10.234,0.076,0.762,0.055,11.13781500134665,0.3898156552175191,0.2458064516129032,0.017741935483870968
NGC3766,0.013,0.001,8.553,0.013,10.487,0.018,0.032,0.020,12.514110918023889,0.10373329890689703,0.01032258064516129,0.0064516129032258064
NGC4755,0.014,0.001,8.637,0.021,10.427,0.045,0.240,0.078,12.173066653544746,0.2522656963122754,0.07741935483870967,0.025161290322580646
Per OB2,,,,,,,,,,,,
Platais 9,0.011,0.001,8.800,0.175,10.495,0.005,1.021,0.236,12.560299636948741,0.0289211587075767,0.32935483870967736,0.07612903225806451
Sco OB4,0.019,0.001,8.369,0.008,9.471,0.052,1.886,0.035,7.837905085356169,0.18769341146237073,0.6083870967741934,0.011290322580645162
