cluster_name,met,met  _error,loga,loga _error,dm,dm   _error,Av,Av   _error,distance_kpc,distance_kpc_error,E_BV,E_BV_error
NGC 2546,0.012,0.003,9.326,0.085,12.200,0.192,1.612,0.113,27.542287033381662,2.435268846721068,0.52,0.03645161290322581
NGC 2632,0.014,0.002,8.449,0.331,11.598,0.078,1.750,0.071,20.873727039105503,0.7497911103613488,0.564516129032258,0.02290322580645161
NGC 2682,0.019,0.001,10.033,0.067,9.905,0.026,0.051,0.023,9.571940712948441,0.11460908158262098,0.016451612903225804,0.007419354838709677
NGC 3766,0.011,0.001,7.534,0.027,11.190,0.032,0.670,0.021,17.298163592151013,0.2549151591901393,0.2161290322580645,0.006774193548387097
NGC 4755,0.011,0.001,7.335,0.016,11.479,0.043,1.260,0.022,19.76059421548991,0.39130386715590637,0.4064516129032258,0.007096774193548387
NGC 5634,0.011,0.001,9.501,0.023,12.992,0.015,0.457,0.046,39.66431879468586,0.2739914075412217,0.1474193548387097,0.014838709677419354
NGC 5822,0.012,0.002,9.506,0.088,12.070,0.071,1.990,0.008,25.94179362118815,0.8482112593429972,0.6419354838709678,0.0025806451612903226
NGC 6139,0.019,0.001,9.623,0.180,12.723,0.076,1.992,0.007,35.042896826443865,1.2264766280880495,0.6425806451612903,0.002258064516129032
NGC 6229,0.011,0.001,9.531,0.146,12.986,0.012,0.402,0.044,39.55487350555624,0.21858830901398144,0.1296774193548387,0.014193548387096773
NGC 6231,0.013,0.001,6.909,0.188,10.651,0.071,1.553,0.125,13.495842460197801,0.44126962446071516,0.5009677419354839,0.04032258064516129
NGC 6235,0.013,0.002,8.650,0.397,12.978,0.018,0.026,0.038,39.40941607322856,0.3266767223057377,0.008387096774193548,0.012258064516129031
NGC 6242,0.012,0.002,8.351,0.179,10.091,0.081,1.069,0.124,10.427975448505057,0.3889830732489375,0.3448387096774193,0.04
NGC 6325,0.019,0.001,9.534,0.034,12.890,0.033,1.985,0.013,37.84425847170934,0.5751215277216524,0.6403225806451613,0.004193548387096774
NGC 6352,0.018,0.004,9.666,0.236,12.995,0.005,0.450,0.064,39.71915494694401,0.091456734087154,0.14516129032258066,0.02064516129032258
NGC 6401,0.014,0.001,8.641,0.121,10.652,0.114,1.924,0.120,13.502058956622387,0.7088437846639963,0.6206451612903225,0.038709677419354833
NGC 6440,0.014,0.001,9.506,0.083,7.787,0.108,0.040,0.037,3.6091090121201512,0.17950206118244386,0.012903225806451613,0.01193548387096774
NGC 6441,0.016,0.001,9.980,0.050,12.425,0.024,1.991,0.008,30.54921113215514,0.3376423591470153,0.6422580645161291,0.0025806451612903226
NGC 6496,0.011,0.001,9.301,0.095,12.993,0.008,0.077,0.063,39.68258909509116,0.146196060962824,0.024838709677419354,0.02032258064516129
NGC 6583,0.014,0.001,9.029,0.037,11.404,0.079,1.748,0.048,19.089739411235055,0.6945008404797222,0.5638709677419355,0.015483870967741935
NGC 6717,0.014,0.001,9.526,0.068,12.993,0.007,0.029,0.024,39.68258909509116,0.127921553342471,0.00935483870967742,0.007741935483870968
NGC 6939,0.018,0.001,8.998,0.069,11.656,0.082,1.332,0.112,21.43877665973508,0.8095795637992488,0.4296774193548387,0.03612903225806451
NGC 7082,0.016,0.001,9.338,0.039,12.791,0.077,1.049,0.049,36.157633636109715,1.2821428344100734,0.33838709677419354,0.015806451612903227
NGC 7243,0.015,0.003,8.369,1.243,9.811,1.774,0.966,0.565,9.166425224195589,7.48857700261801,0.3116129032258064,0.182258064516129
NGC 7492,0.011,0.001,9.510,0.094,12.982,0.014,0.397,0.056,39.48207780378825,0.254550362616015,0.12806451612903227,0.018064516129032256
NGC 7654,0.016,0.001,8.507,0.009,11.111,0.065,1.881,0.041,16.680151850852933,0.49929709700846314,0.6067741935483871,0.013225806451612903
NGC 7789,0.015,0.003,9.250,0.003,11.494,0.067,0.803,0.055,19.89756811090657,0.613932305834696,0.25903225806451613,0.017741935483870968
NGC 869,0.011,0.001,7.224,0.028,11.684,0.024,1.757,0.013,21.717008433479904,0.24002524744011267,0.5667741935483871,0.004193548387096774
NGC 957,0.016,0.001,8.523,0.009,11.329,0.058,1.932,0.028,18.441659537910112,0.4925764879679342,0.6232258064516129,0.009032258064516128
NGC3766,0.011,0.001,7.508,0.048,11.222,0.043,0.679,0.019,17.55496629621234,0.34762751183437424,0.21903225806451615,0.0061290322580645155
NGC4755,0.011,0.001,7.332,0.043,11.469,0.039,1.269,0.023,19.669802532183905,0.3532728739233969,0.40935483870967737,0.007419354838709677
Per OB2,0.019,0.002,9.494,0.052,12.980,0.028,1.025,0.054,39.44573020752785,0.508632042005464,0.33064516129032256,0.017419354838709676
Platais 9,0.016,0.001,9.027,0.010,12.793,0.013,1.969,0.009,36.19095138842974,0.21666513743750324,0.6351612903225806,0.0029032258064516127
Sco OB4,0.018,0.002,8.636,0.506,9.464,0.671,1.736,0.858,7.81267934551605,2.414171977441382,0.5599999999999999,0.27677419354838706
