cluster_name,met,met  _error,loga,loga _error,dm,dm   _error,Av,Av   _error,distance_kpc,distance_kpc_error,E_BV,E_BV_error
Collinder 106,0.012,0.001,6.196,0.332,10.752,0.123,0.546,0.150,14.13839139094565,0.8008492916903875,0.17612903225806453,0.04838709677419355
IC 2944,0.014,0.002,6.955,0.053,11.418,0.052,1.143,0.024,19.21321311403724,0.46009660429095856,0.36870967741935484,0.007741935483870968
IC 4756,0.011,0.000,9.452,0.043,12.752,0.028,1.971,0.019,35.51403349828825,0.45793487110139847,0.6358064516129033,0.0061290322580645155
Lynga 2,0.013,0.001,6.535,0.297,10.805,0.087,0.564,0.067,14.487718535447618,0.5804501623231447,0.18193548387096772,0.021612903225806453
NGC 1817,0.014,0.001,9.023,0.017,11.257,0.034,0.720,0.029,17.8402115519149,0.2793345151920361,0.23225806451612901,0.00935483870967742
NGC 1960,0.019,0.001,7.938,0.039,10.242,0.055,0.515,0.121,11.178923907117449,0.2831446589866773,0.16612903225806452,0.03903225806451613
NGC 2099,0.012,0.001,8.882,0.015,10.705,0.062,0.707,0.056,13.83566378971781,0.3950366356041335,0.22806451612903225,0.018064516129032256
NGC 2158,0.019,0.001,10.088,0.016,12.882,0.042,1.048,0.013,37.705091583339296,0.7292811272020876,0.33806451612903227,0.004193548387096774
NGC 2264,0.014,0.001,6.080,0.111,8.829,0.039,0.035,0.068,5.831764797316428,0.10473945056755635,0.011290322580645162,0.021935483870967745
NGC 2345,0.015,0.002,8.530,0.031,11.898,0.099,1.557,0.090,23.96624529408638,1.0926495191541996,0.502258064516129,0.029032258064516127
NGC 6025,0.011,0.001,9.502,0.036,12.979,0.020,1.105,0.023,39.42756895955905,0.36314133015710176,0.3564516129032258,0.007419354838709677
NGC 6475,0.018,0.001,8.649,0.432,9.427,1.639,1.543,0.294,7.680685809900986,5.7972848226204725,0.4977419354838709,0.09483870967741935
Collinder 110,0.012,0.002,9.255,0.018,11.749,0.045,1.357,0.028,22.376904067371235,0.4637225315959816,0.43774193548387097,0.009032258064516128
IC 1805,0.015,0.002,9.229,0.111,9.341,0.074,0.606,0.101,7.382441258430447,0.25158074803517905,0.19548387096774192,0.03258064516129033
IC 4499,0.012,0.003,9.522,0.066,12.989,0.012,0.820,0.137,39.60955834906336,0.21889050862711476,0.264516129032258,0.04419354838709678
IC 4651,0.019,0.001,9.276,0.012,9.830,0.044,0.315,0.014,9.246981739382225,0.18736926831294903,0.10161290322580645,0.004516129032258064
IC 5146,0.016,0.001,9.368,0.007,12.439,0.066,1.680,0.048,30.746805459396352,0.9345221939855207,0.5419354838709677,0.015483870967741935
M45,0.011,0.001,9.712,0.133,12.964,0.055,0.695,0.028,39.15615148396117,0.9917640777658424,0.22419354838709676,0.009032258064516128
NGC 104,0.015,0.003,10.052,0.041,10.283,0.126,0.778,0.013,11.392000621865245,0.6610224804444025,0.2509677419354839,0.004193548387096774
NGC 1245,0.014,0.001,8.998,0.018,12.642,0.041,0.954,0.039,33.75981048554255,0.6374256582037778,0.30774193548387097,0.012580645161290323
NGC 1528,0.016,0.001,8.447,0.079,12.290,0.058,1.721,0.053,28.70780582024689,0.7667851225175111,0.5551612903225807,0.017096774193548388
NGC 1746,0.016,0.001,8.103,0.013,9.526,0.020,1.228,0.035,8.038962448571258,0.07404158038887639,0.3961290322580645,0.011290322580645162
NGC 188,0.019,0.001,9.499,0.021,11.542,0.034,0.375,0.017,20.34229743211728,0.3185111216062213,0.12096774193548386,0.005483870967741936
NGC 1912,0.014,0.001,8.778,0.017,10.182,0.030,0.681,0.021,10.874267195462435,0.15023355324903584,0.21967741935483873,0.006774193548387097
NGC 1931,0.012,0.001,9.466,1.613,8.993,0.825,0.046,0.733,6.289266531604161,2.3894592746537873,0.014838709677419354,0.2364516129032258
NGC 2168,0.015,0.003,8.063,0.143,9.925,0.036,0.889,0.020,9.660508789898136,0.1601578334185733,0.28677419354838707,0.0064516129032258064
NGC 2269,0.016,0.001,8.543,0.046,11.996,0.090,1.108,0.101,25.07263624777119,1.039173812391242,0.3574193548387097,0.03258064516129033
NGC 2298,0.014,0.001,8.223,0.033,12.986,0.016,0.049,0.032,39.55487350555624,0.29145107868530856,0.015806451612903227,0.01032258064516129
NGC 2323,0.019,0.002,8.004,0.126,10.088,0.072,0.847,0.054,10.413578615284342,0.3452853727335644,0.2732258064516129,0.017419354838709676
NGC 2360,0.011,0.001,9.132,0.006,10.194,0.042,0.278,0.033,10.934526967309205,0.21149250186848761,0.08967741935483871,0.01064516129032258
NGC 2422,0.016,0.002,9.238,0.143,12.784,0.174,0.671,0.097,36.04126286491437,2.8879849962690236,0.21645161290322582,0.03129032258064516
NGC 2447,0.015,0.001,9.295,0.937,11.652,0.604,0.271,0.709,21.399321324559423,5.952270000480111,0.08741935483870968,0.22870967741935483
NGC 2453,0.016,0.001,8.516,0.022,12.973,0.018,1.245,0.061,39.31877693146973,0.3259253866937773,0.40161290322580645,0.01967741935483871
NGC 2509,0.019,0.002,9.248,0.013,11.896,0.071,0.161,0.042,23.94418172863381,0.7828959259545551,0.05193548387096774,0.013548387096774195
NGC 2516,0.018,0.002,8.118,0.062,8.411,0.189,0.509,0.176,4.810608341479539,0.418704365091232,0.16419354838709677,0.05677419354838709
