cluster_name,met,met  _error,loga,loga _error,dm,dm   _error,Av,Av   _error,distance_kpc,distance_kpc_error,E_BV,E_BV_error
NGC 6139,0.019,0.001,9.578,0.064,11.983,0.012,1.989,0.010,24.922981780526225,0.13772948716992453,0.6416129032258064,0.0032258064516129032
NGC 6229,0.011,0.001,9.500,0.040,11.977,0.018,0.295,0.086,24.854212089533636,0.20602417771970116,0.09516129032258064,0.027741935483870966
NGC 6231,0.014,0.001,7.014,0.015,10.758,0.042,1.565,0.039,14.177511231219995,0.27421737854080774,0.5048387096774193,0.012580645161290323
NGC 6235,0.013,0.001,8.633,0.005,11.978,0.020,0.056,0.047,24.86566051307934,0.22902119689946868,0.018064516129032256,0.015161290322580645
NGC 6242,0.014,0.001,8.335,0.047,10.280,0.027,1.159,0.029,11.376272858234303,0.1414521160048966,0.37387096774193546,0.00935483870967742
NGC 6325,0.013,0.001,9.503,0.023,11.986,0.010,1.975,0.015,24.957437948315718,0.11493324915823136,0.6370967741935484,0.004838709677419354
NGC 6352,0.014,0.001,9.507,0.020,11.994,0.007,0.072,0.025,25.049554127725546,0.08075022188890764,0.0232258064516129,0.008064516129032258
NGC 6401,0.014,0.001,8.639,0.097,10.808,0.154,1.874,0.112,14.507747890889114,1.028883980015494,0.604516129032258,0.03612903225806451
NGC 6440,0.013,0.001,9.504,0.072,7.753,0.034,0.135,0.038,3.5530392081527165,0.05563199078550753,0.043548387096774194,0.012258064516129031
NGC 6441,0.016,0.001,9.506,0.029,11.974,0.020,1.984,0.010,24.819898435070957,0.22859971258488254,0.64,0.0032258064516129032
NGC 6496,0.011,0.001,8.651,0.006,11.981,0.015,0.050,0.037,24.900037433881987,0.17200336503075114,0.016129032258064516,0.01193548387096774
NGC 6583,0.014,0.001,9.065,0.032,11.491,0.068,1.872,0.055,19.87009758501157,0.622235230739951,0.6038709677419355,0.017741935483870968
NGC 6717,0.013,0.002,8.668,0.336,11.985,0.009,0.038,0.026,24.945947269429535,0.10339229936376713,0.012258064516129031,0.008387096774193548
NGC 6939,0.019,0.001,8.973,0.017,11.878,0.046,1.476,0.032,23.746521436516744,0.5030411536857206,0.4761290322580645,0.01032258064516129
NGC 7082,0.011,0.001,9.499,0.013,11.954,0.051,0.690,0.030,24.592348238462314,0.5775849394471374,0.2225806451612903,0.009677419354838708
NGC 7243,0.016,0.003,8.574,0.897,9.587,1.588,0.959,0.547,8.267991091178708,6.046390364092481,0.3093548387096774,0.1764516129032258
NGC 7492,0.018,0.001,9.527,0.043,11.991,0.015,0.220,0.061,25.014970784600973,0.1727972964909113,0.07096774193548387,0.01967741935483871
NGC 7654,0.015,0.001,8.500,0.003,11.172,0.052,1.931,0.030,17.155366477283476,0.41081758760060416,0.6229032258064516,0.009677419354838708
NGC 7789,0.011,0.002,9.249,0.006,11.572,0.048,0.908,0.056,20.62528697846572,0.45591819201925804,0.2929032258064516,0.018064516129032256
NGC 869,0.011,0.001,7.280,0.022,11.795,0.024,1.774,0.022,22.8559880337543,0.2526137151944301,0.572258064516129,0.007096774193548387
NGC 957,0.016,0.002,8.226,0.157,11.396,0.054,1.898,0.060,19.019539604423088,0.4729763703825483,0.612258064516129,0.019354838709677417
NGC3766,0.012,0.001,7.563,0.043,11.244,0.122,0.629,0.075,17.733726245425576,0.9963352941812824,0.20290322580645162,0.024193548387096774
NGC4755,0.016,0.003,7.600,0.094,11.426,0.134,1.168,0.043,19.28412775639427,1.1900096487675331,0.37677419354838704,0.013870967741935483
Per OB2,0.011,0.001,9.507,0.028,11.978,0.018,0.919,0.030,24.86566051307934,0.2061190772095218,0.2964516129032258,0.009677419354838708
Platais 9,0.013,0.001,9.511,0.046,11.969,0.023,1.497,0.075,24.76281425273958,0.2622850400111178,0.4829032258064516,0.024193548387096774
Sco OB4,0.018,0.001,8.632,0.002,9.478,0.047,1.967,0.040,7.86321227458418,0.17019372444515016,0.6345161290322581,0.012903225806451613
