cluster_name,met,met  _error,loga,loga _error,dm,dm   _error,Av,Av   _error,distance_kpc,distance_kpc_error,E_BV,E_BV_error
Collinder 106,0.016,0.001,8.703,0.169,9.529,0.074,0.154,0.153,8.050076361080626,0.27433259023202244,0.04967741935483871,0.04935483870967742
IC 2944,0.019,0.001,7.878,0.003,10.138,0.133,0.065,0.063,10.656142021585191,0.6526755222216046,0.020967741935483872,0.02032258064516129
IC 4756,0.018,0.001,8.272,0.009,10.243,0.035,0.848,0.027,11.184073177398586,0.18026596124062777,0.2735483870967742,0.008709677419354838
Lynga 2,0.017,0.001,7.025,0.024,10.463,0.036,0.384,0.036,12.376561379855941,0.20518621729763117,0.12387096774193548,0.01161290322580645
NGC 1817,0.014,0.001,9.440,0.024,10.487,0.009,0.041,0.022,12.514110918023889,0.051866649453448516,0.013225806451612903,0.007096774193548387
NGC 1960,0.013,0.001,7.712,0.063,10.244,0.070,0.872,0.042,11.18922481955243,0.36069799180324585,0.2812903225806451,0.013548387096774195
NGC 2099,0.011,0.001,8.887,0.006,10.490,0.006,0.616,0.026,12.531411749414161,0.034625570266045784,0.19870967741935483,0.008387096774193548
NGC 2158,0.012,0.001,9.260,0.299,10.496,0.007,0.007,0.017,12.56608520076332,0.040508272644799,0.002258064516129032,0.005483870967741936
NGC 2264,0.014,0.001,7.316,0.186,8.463,0.275,0.084,0.036,4.927197832116137,0.6239910753154759,0.02709677419354839,0.01161290322580645
NGC 2345,0.011,0.001,9.493,0.110,10.477,0.023,0.055,0.024,12.456613801138875,0.13193910093935685,0.017741935483870968,0.007741935483870968
NGC 6025,0.015,0.003,7.942,0.643,8.523,0.964,1.082,0.551,5.065239675508817,2.2486544271949858,0.34903225806451615,0.177741935483871
NGC 6475,0.019,0.001,8.183,0.016,8.982,0.021,1.426,0.010,6.257487633544404,0.06051527052729453,0.45999999999999996,0.0032258064516129032
Collinder 110,0.012,0.001,8.648,0.004,10.485,0.014,0.069,0.050,12.5025903021772,0.0806071785500944,0.022258064516129033,0.016129032258064516
IC 1805,0.016,0.001,9.033,0.007,9.444,0.049,0.880,0.012,7.741052270741224,0.17467942931442523,0.2838709677419355,0.003870967741935484
IC 4499,0.014,0.001,8.648,0.104,10.486,0.016,0.087,0.122,12.508349283740658,0.09216492351585277,0.028064516129032255,0.03935483870967742
IC 4651,0.018,0.001,9.265,0.030,9.850,0.057,0.280,0.031,9.33254300796991,0.24497430827260155,0.0903225806451613,0.01
IC 5146,0.011,0.001,8.144,0.549,10.474,0.038,0.186,0.110,12.439416235583076,0.21768538936097293,0.06,0.035483870967741936
M45,0.014,0.003,8.318,0.717,8.803,1.040,0.830,0.584,5.762354864094255,2.7598089814058735,0.26774193548387093,0.18838709677419352
NGC 104,0.016,0.003,9.387,0.006,9.457,0.460,1.160,0.033,7.787534792924762,1.6496944603332149,0.37419354838709673,0.01064516129032258
NGC 1245,0.014,0.001,8.323,0.219,10.494,0.005,0.009,0.007,12.554516736871385,0.0289078430880643,0.0029032258064516127,0.002258064516129032
NGC 1528,0.014,0.001,8.543,0.016,10.048,0.040,0.964,0.051,10.223509385032305,0.1883240024644809,0.3109677419354839,0.016451612903225804
NGC 1746,0.016,0.001,8.088,0.010,9.403,0.018,1.159,0.011,7.596263129545539,0.06296775208038669,0.37387096774193546,0.0035483870967741933
NGC 188,0.011,0.001,9.439,0.206,10.491,0.008,0.018,0.020,12.537184006801198,0.04618869280349409,0.005806451612903225,0.0064516129032258064
NGC 1912,0.015,0.001,8.504,0.160,10.423,0.153,0.889,0.116,12.150663676334156,0.8561248737640045,0.28677419354838707,0.03741935483870968
