cluster_name,met,met  _error,loga,loga _error,dm,dm   _error,Av,Av   _error,distance_kpc,distance_kpc_error,E_BV,E_BV_error
NGC 1931,0.013,0.001,7.886,0.010,10.034,0.170,1.618,0.139,10.157808007969006,0.7952333880859295,0.5219354838709678,0.044838709677419354
NGC 2168,0.014,0.001,8.390,0.020,9.652,0.031,0.758,0.022,8.51922326428547,0.12162066625183716,0.24451612903225806,0.007096774193548387
NGC 2269,0.011,0.001,9.264,0.063,10.485,0.014,0.009,0.009,12.5025903021772,0.0806071785500944,0.0029032258064516127,0.0029032258064516127
NGC 2298,0.012,0.001,9.322,0.239,10.486,0.016,0.030,0.104,12.508349283740658,0.09216492351585277,0.009677419354838708,0.03354838709677419
NGC 2323,0.014,0.001,8.517,0.009,9.897,0.029,0.713,0.034,9.536741259755848,0.12736311791063942,0.22999999999999998,0.010967741935483872
NGC 2360,0.011,0.001,9.130,0.004,10.062,0.037,0.235,0.025,10.289635722967539,0.17532643752752608,0.07580645161290323,0.008064516129032258
NGC 2422,0.014,0.003,8.302,0.719,8.468,0.930,0.974,0.518,4.938556196176077,2.1150889333504854,0.31419354838709673,0.16709677419354838
NGC 2447,0.014,0.003,8.125,0.727,8.457,1.080,1.051,0.514,4.913602272990919,2.443821266885159,0.3390322580645161,0.16580645161290322
NGC 2453,0.011,0.001,9.250,0.148,10.489,0.011,0.022,0.019,12.525642149637898,0.06345098516665507,0.007096774193548387,0.0061290322580645155
NGC 2509,0.014,0.001,9.214,0.035,10.486,0.010,0.008,0.007,12.508349283740658,0.05760307719740799,0.0025806451612903226,0.002258064516129032
NGC 2516,0.014,0.001,8.331,0.034,8.146,0.064,0.437,0.055,4.257944535825969,0.1254947790718506,0.14096774193548386,0.017741935483870968
NGC 2546,0.016,0.003,8.221,0.689,8.617,0.981,1.089,0.597,5.289321920487212,2.3895421287686887,0.35129032258064513,0.1925806451612903
NGC 2632,0.013,0.002,7.046,0.615,10.281,0.796,1.867,0.465,11.38151303199574,4.172138837115985,0.6022580645161291,0.15
NGC 2682,0.019,0.001,9.391,0.006,9.863,0.037,0.054,0.049,9.38858191873097,0.15997326490113292,0.017419354838709676,0.015806451612903227
NGC 3766,0.013,0.001,8.550,0.107,10.487,0.009,0.033,0.064,12.514110918023889,0.051866649453448516,0.01064516129032258,0.02064516129032258
NGC 4755,0.019,0.001,8.899,0.028,10.443,0.034,0.029,0.080,12.263092383087383,0.19201033326407968,0.00935483870967742,0.025806451612903226
NGC 5634,0.011,0.002,8.720,0.301,10.484,0.012,0.026,0.068,12.496833972112192,0.06906005667313704,0.008387096774193548,0.021935483870967745
NGC 5822,0.014,0.001,8.630,0.002,10.471,0.032,0.562,0.057,12.422242412937337,0.18306092929016257,0.18129032258064517,0.018387096774193548
NGC 6139,0.014,0.001,8.602,0.007,10.481,0.018,0.032,0.034,12.47958087870284,0.1034470688332129,0.01032258064516129,0.010967741935483872
NGC 6229,0.011,0.000,9.499,0.373,10.497,0.010,0.237,0.098,12.571873429542062,0.05789561669974297,0.0764516129032258,0.031612903225806455
NGC 6231,0.014,0.001,7.014,0.021,10.482,0.016,1.465,0.060,12.485329261594941,0.0919953057243868,0.47258064516129034,0.019354838709677417
NGC 6235,0.014,0.001,8.642,0.008,10.479,0.025,0.083,0.070,12.468092051556184,0.1435442144799541,0.026774193548387098,0.022580645161290325
NGC 6242,0.014,0.001,8.501,0.334,10.308,0.103,1.180,0.142,11.523913771994867,0.5466167165254898,0.38064516129032255,0.04580645161290322
NGC 6325,0.014,0.001,9.184,0.079,10.470,0.049,0.030,0.065,12.416523075924113,0.28018298922610657,0.009677419354838708,0.020967741935483872
NGC 6352,0.018,0.003,9.434,0.007,10.483,0.017,1.571,0.067,12.491080292324847,0.09779003594009628,0.506774193548387,0.021612903225806453
NGC 6401,0.014,0.001,8.658,0.007,10.447,0.062,1.754,0.137,12.285702652493882,0.35078205972891374,0.5658064516129032,0.04419354838709678
NGC 6440,0.016,0.001,9.374,0.031,8.354,0.201,0.097,0.047,4.685975353086258,0.43375225116498795,0.03129032258064516,0.015161290322580645
NGC 6441,0.019,0.001,8.629,0.007,10.292,0.064,0.202,0.140,11.439314495393068,0.3371519363988837,0.06516129032258065,0.04516129032258065
NGC 6496,0.013,0.001,9.102,0.089,10.490,0.009,1.067,0.103,12.531411749414161,0.051938355399068666,0.34419354838709676,0.0332258064516129
NGC 6583,0.011,0.001,9.497,0.018,10.460,0.036,1.075,0.026,12.359474334445107,0.20490293779009783,0.34677419354838707,0.008387096774193548
NGC 6717,0.013,0.001,8.676,0.218,10.486,0.017,0.053,0.047,12.508349283740658,0.09792523123559359,0.017096774193548388,0.015161290322580645
NGC 6939,0.011,0.001,9.498,0.011,10.490,0.011,0.706,0.070,12.531411749414161,0.06348021215441726,0.22774193548387095,0.022580645161290325
NGC 7082,0.013,0.001,8.788,0.315,10.481,0.016,0.026,0.061,12.47958087870284,0.09195295007396703,0.008387096774193548,0.01967741935483871
NGC 7243,0.016,0.003,8.405,0.720,8.596,0.961,0.910,0.558,5.23841619027791,2.3182969936875812,0.2935483870967742,0.18000000000000002
NGC 7492,0.014,0.001,8.665,0.006,10.486,0.021,0.049,0.044,12.508349283740658,0.12096646211455678,0.015806451612903227,0.014193548387096773
NGC 7654,0.013,0.001,8.687,0.014,10.486,0.012,1.438,0.044,12.508349283740658,0.06912369263688958,0.4638709677419355,0.014193548387096773
NGC 7789,0.012,0.001,9.483,0.011,10.491,0.007,0.420,0.039,12.537184006801198,0.04041510620305733,0.13548387096774192,0.012580645161290323
NGC 869,0.011,0.001,9.211,0.010,9.993,0.018,0.013,0.012,9.967815711512952,0.0826262779213496,0.004193548387096774,0.003870967741935484
NGC 957,0.012,0.001,9.273,0.008,10.141,0.010,0.652,0.009,10.670874200130985,0.04914119172487274,0.2103225806451613,0.0029032258064516127
NGC3766,0.013,0.001,8.597,0.116,10.487,0.013,0.019,0.048,12.514110918023889,0.07491849365498118,0.0061290322580645155,0.015483870967741935
NGC4755,0.018,0.001,8.877,0.043,10.473,0.057,0.110,0.139,12.433688991553053,0.32637774692076627,0.035483870967741936,0.044838709677419354
Per OB2,0.014,0.003,8.261,0.675,8.464,0.999,1.157,0.654,4.929467413122061,2.267833532734585,0.3732258064516129,0.21096774193548387
Platais 9,,,,,,,,,,,,
Sco OB4,0.014,0.001,9.459,0.035,8.049,0.081,0.016,0.026,4.071927154442865,0.15189053200236044,0.005161290322580645,0.008387096774193548
